"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","5168","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","5213","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","4120","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).pdf"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3345","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).pdf"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","2664","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).pdf"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3233","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).pdf"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3734","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).pdf"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3073","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).pdf"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3079","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).pdf"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","2737","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).pdf"
"Attachment of P.N.D.3 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","OK","","2","5","4762","10.10.10.45","SBO_NCC2","NOT-SBO_SDA_REAL","1","4","DocKey@","Attachment of P.N.D.3 v28.pdf"
"Attachment of P.N.D.53 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","OK","","2","5","3501","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","1","3","DocKey@","Attachment of P.N.D.53 v28.pdf"
"Attachment of PP30 v28.rpt","Tax","SubmitDate","@SLDT_TS_TST","202608","","none","NO-SAMPLE","smoke run OK (key 202608); @SLDT_TS_TST empty -- smoke with last month","1","1","3388","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","1","2","Branch/DocKey@","Attachment of PP30 v28.pdf"
"Tax Report v25.rpt","Tax","TaxType+DocNum","@SLDT_RT_TST","''","","none","NO-SAMPLE","smoke run OK (key ''); @SLDT_RT_TST empty -- smoke with empty IN list","1","0","3544","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","3","5","DocKey@","Tax Report v25.pdf"
"Value Added Tax Return under the Revenue Code (P.P.30) v28.rpt","Tax","SubmitDate","@SLDT_TS_TST","202608","","none","NO-SAMPLE","smoke run OK (key 202608); @SLDT_TS_TST empty -- smoke with last month","1","1","4209","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","0","2","DocKey@","Value Added Tax Return under the Revenue Code (P.P.30) v28.pdf"
"Withholding Income Tax Return (P.N.D.3)v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","EMPTY","0 records for key 4","1","0","2953","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","0","4","DocKey@","Withholding Income Tax Return (P.N.D.3)v28.pdf"
"Withholding Tax certificate (03) v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","EMPTY","0 records for key 4","1","0","2983","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","5","7","DocKey@","Withholding Tax certificate (03) v28.pdf"
"Withholding Tax certificate (53) v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","EMPTY","0 records for key 4","1","0","3606","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","5","7","DocKey@","Withholding Tax certificate (53) v28.pdf"
"Withholding Tax certificate (53) v28_A0070001.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","EMPTY","0 records for key 4","1","0","2837","192.168.0.216","SBO_SDA_Training","NOT-SBO_SDA_REAL","0","4","Dockey@","Withholding Tax certificate (53) v28_A0070001.pdf"
