"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3377","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).pdf"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3470","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).pdf"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3248","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).pdf"
"2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","3328","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.pdf"
"2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","3300","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.pdf"
"2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.rpt","Form","1470000065","OINC","-1","1470000065","none","NO-SAMPLE","smoke run OK (key -1); OINC empty, no draft","1","0","3382","192.168.0.216","SBO_SDA_REAL","","0","2","DocKey@","2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.pdf"
"2.Sale Order_ใบสั่งขาย_(Bom).rpt","Form","17","ORDR","7","17","real","OK","","1","1","7023","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Order_ใบสั่งขาย_(Bom).pdf"
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis) ENG.rpt","Form","23","OQUT","16","23","real","OK","","1","2","5820","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Quotation_ใบเสนอราคาขาย_(Dis) ENG.pdf"
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis).rpt","Form","23","OQUT","16","23","real","OK","","1","2","3919","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Quotation_ใบเสนอราคาขาย_(Dis).pdf"
"3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3302","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3329","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3108","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down PaymentTax Invoice_BOM_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3003","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down PaymentTax Invoice_Dis_ENG ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3109","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Bom).pdf"
"3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","2992","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ENG ใบวางบิลใบแจ้งหนี้ (Dis).pdf"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3272","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Bom).pdf"
"3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3228","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.BillingAR Invoice_ใบวางบิลใบแจ้งหนี้ (Dis).pdf"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3148","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(BOM).pdf"
"4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3335","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ENG ใบแจ้งหนี้ใบกำกับภาษี_(Dis).pdf"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3889","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(BOM).pdf"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3152","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).pdf"
"Attachment of P.N.D.3 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","OK","","2","5","4413","10.0.70.61|10.10.10.45","SBO_NCC2|SBO_SDA_REAL","NOT-SBO_SDA_REAL","1","4","DocKey@","Attachment of P.N.D.3 v28.pdf"
"Attachment of P.N.D.53 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","OK","","2","5","4224","10.0.70.61|192.168.0.216","SBO_SDA_REAL|SBO_SDA_Training","NOT-SBO_SDA_REAL","1","3","DocKey@","Attachment of P.N.D.53 v28.pdf"
"Attachment of PP30 v28.rpt","Tax","SubmitDate","@SLDT_TS_TST","202608","","none","NO-SAMPLE","smoke run OK (key 202608); @SLDT_TS_TST empty -- smoke with last month","1","1","4180","10.0.70.61|192.168.0.216","SBO_SDA_REAL|SBO_SDA_Training","NOT-SBO_SDA_REAL","1","2","Branch/DocKey@","Attachment of PP30 v28.pdf"
